Scenario,LUCC,Model,Region,Years,Metric,Taxa,Units,Value,Scale,Family,Source,Original_model_metric
Historical,LU,AIM,Global,1900-2015,Habitat extent (full dispersal),All,%,-0.759671,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP1xRCP2.6,LU,AIM,Global,2015-2050,Habitat extent (full dispersal),All,%,-0.279510937,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP3xRCP6.0,LU,AIM,Global,2015-2050,Habitat extent (full dispersal),All,%,1.214340459,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP5xRCP8.5,LU,AIM,Global,2015-2050,Habitat extent (full dispersal),All,%,0.618222287,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP1xRCP2.6,LUCC,AIM,Global,2015-2050,Habitat extent (full dispersal),All,%,-1.859512596,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP3xRCP6.0,LUCC,AIM,Global,2015-2050,Habitat extent (full dispersal),All,%,-0.8435364,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP5xRCP8.5,LUCC,AIM,Global,2015-2050,Habitat extent (full dispersal),All,%,-4.735709802,GammaGlobal,Hgamma,CSV,Zgamma_FullD
Historical,LU,AIM,Global,1900-2015,Habitat extent (full dispersal),Amphibians,%,-1.393071,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP1xRCP2.6,LU,AIM,Global,2015-2050,Habitat extent (full dispersal),Amphibians,%,-0.503672381,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP3xRCP6.0,LU,AIM,Global,2015-2050,Habitat extent (full dispersal),Amphibians,%,-1.394935749,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP5xRCP8.5,LU,AIM,Global,2015-2050,Habitat extent (full dispersal),Amphibians,%,-0.670776946,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP1xRCP2.6,LUCC,AIM,Global,2015-2050,Habitat extent (full dispersal),Amphibians,%,1.552711808,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP3xRCP6.0,LUCC,AIM,Global,2015-2050,Habitat extent (full dispersal),Amphibians,%,2.851679571,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP5xRCP8.5,LUCC,AIM,Global,2015-2050,Habitat extent (full dispersal),Amphibians,%,4.659798186,GammaGlobal,Hgamma,CSV,Zgamma_FullD
Historical,LU,AIM,Global,1900-2015,Habitat extent (full dispersal),Birds,%,-4.368072,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP1xRCP2.6,LU,AIM,Global,2015-2050,Habitat extent (full dispersal),Birds,%,0.070309157,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP3xRCP6.0,LU,AIM,Global,2015-2050,Habitat extent (full dispersal),Birds,%,0.722200006,GammaGlobal,Hgamma,CSV,Zgamma_FullD
SSP5xRCP8.5,LU,AIM,Global,2015-2050,Habitat extent (full dispersal),Birds,%,0.672211526,GammaGlobal,Hgamma,CSV,Zgamma_FullD
