"Scenario";"LUCC";"Model";"Region";"Years";"Metric";"Units";"Value";"NCP";"Source";"Signal change";"Original metric"
"Historical";"LUCC";"CABLE";"Global";"1920-2015";"Ecosystem carbon";"%";-4,771816672;"Climate regulation";"CSV";FALSE;"cEco - sum of cLitter, cSoil and cVeg"
"SSP1xRCP2.6";"LUCC";"CABLE";"Global";"2015-2050";"Ecosystem carbon";"%";4,2653875411876;"Climate regulation";"Raster";FALSE;"cEco - sum of cLitter, cSoil and cVeg"
"SSP3xRCP6.0";"LUCC";"CABLE";"Global";"2015-2050";"Ecosystem carbon";"%";1,1545008320883;"Climate regulation";"Raster";FALSE;"cEco - sum of cLitter, cSoil and cVeg"
"SSP5xRCP8.5";"LUCC";"CABLE";"Global";"2015-2050";"Ecosystem carbon";"%";2,85377745487376;"Climate regulation";"Raster";FALSE;"cEco - sum of cLitter, cSoil and cVeg"
"Historical";"LUCC";"CABLE";"Global";"1920-2015";"Timber production";"%";412,7717421;"Materials";"CSV";FALSE;"wood harvest"
"SSP1xRCP2.6";"LUCC";"CABLE";"Global";"2015-2050";"Timber production";"%";12,8264814;"Materials";"Raster";FALSE;"wood harvest"
"SSP3xRCP6.0";"LUCC";"CABLE";"Global";"2015-2050";"Timber production";"%";23,7642277;"Materials";"Raster";FALSE;"wood harvest"
"SSP5xRCP8.5";"LUCC";"CABLE";"Global";"2015-2050";"Timber production";"%";42,5426245;"Materials";"Raster";FALSE;"wood harvest"
"SSP1xRCP2.6";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Ecosystem carbon";"%";4,81793637293233;"Climate regulation";"CSV";FALSE;"cPool"
"SSP3xRCP6.0";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Ecosystem carbon";"%";-1,12;"Climate regulation";"CSV";FALSE;"cPool"
"SSP5xRCP8.5";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Ecosystem carbon";"%";0,291149661654135;"Climate regulation";"CSV";FALSE;"cPool"
"SSP1xRCP2.6";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Food and feed production";"%";31,61127193;"Food and feed";"CSV";FALSE;"cropsKcal"
"SSP3xRCP6.0";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Food and feed production";"%";40,53762237;"Food and feed";"CSV";FALSE;"cropsKcal"
"SSP5xRCP8.5";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Food and feed production";"%";58,44233939;"Food and feed";"CSV";FALSE;"cropsKcal"
"SSP1xRCP2.6";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Soil protection";"%";3,55098850925523;"Soils";"CSV";FALSE;"erosionPr_RelDiff"
"SSP3xRCP6.0";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Soil protection";"%";-8,67249234510391;"Soils";"CSV";FALSE;"erosionPr_RelDiff"
"SSP5xRCP8.5";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Soil protection";"%";-8,10547106388593;"Soils";"CSV";FALSE;"erosionPr_RelDiff"
"SSP1xRCP2.6";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Crop pest control";"%";16,7330211745574;"Detrimental organisms";"CSV";FALSE;"PestControl_Pc_ServiceCropArea"
"SSP3xRCP6.0";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Crop pest control";"%";-1,70166035221081;"Detrimental organisms";"CSV";FALSE;"PestControl_Pc_ServiceCropArea"
"SSP5xRCP8.5";"LUCC";"GLOBIO-ES";"Global";"2015-2050";"Crop pest control";"%";-8,8772891589602;"Detrimental organisms";"CSV";FALSE;"PestControl_Pc_ServiceCropArea"
