"Scenario","LUCC","Model","Region","Years","Metric","Units","Value","NCP","Source","Signal change","Original metric"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","Oceania","2015-2050","Bioenergy production","%",369.193423428376,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","Caribbean","2015-2050","Bioenergy production","%",20.2691332490232,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","Central Africa","2015-2050","Bioenergy production","%",99.138082115221,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","Central and Western Europe","2015-2050","Bioenergy production","%",13007.916422225,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","Central Asia","2015-2050","Bioenergy production","%",34.9615897419154,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","East Africa and adjacent islands","2015-2050","Bioenergy production","%",381.808127170795,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","Eastern Europe","2015-2050","Bioenergy production","%",23105.3507352331,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","Mesoamerica","2015-2050","Bioenergy production","%",134.370740962804,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","North-East Asia","2015-2050","Bioenergy production","%",91.010164704008,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","North Africa","2015-2050","Bioenergy production","%",24.0832419945504,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","North America","2015-2050","Bioenergy production","%",15.2269141305499,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","South-East Asia","2015-2050","Bioenergy production","%",78.5507002879208,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","South America","2015-2050","Bioenergy production","%",127.499414436851,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","South Asia","2015-2050","Bioenergy production","%",22.0330893252063,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","Southern Africa","2015-2050","Bioenergy production","%",911.534330428031,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","West Africa","2015-2050","Bioenergy production","%",40.1559966913937,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP1xRCP2.6","LUCC","LPJ-GUESS","Western Asia","2015-2050","Bioenergy production","%",148.858016214904,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP3xRCP6.0","LUCC","LPJ-GUESS","Oceania","2015-2050","Bioenergy production","%",101.608925493007,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP3xRCP6.0","LUCC","LPJ-GUESS","Caribbean","2015-2050","Bioenergy production","%",-7.06413092315384,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP3xRCP6.0","LUCC","LPJ-GUESS","Central Africa","2015-2050","Bioenergy production","%",35.4098271966977,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP3xRCP6.0","LUCC","LPJ-GUESS","Central and Western Europe","2015-2050","Bioenergy production","%",531.261071935412,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP3xRCP6.0","LUCC","LPJ-GUESS","Central Asia","2015-2050","Bioenergy production","%",47.6630730757957,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP3xRCP6.0","LUCC","LPJ-GUESS","East Africa and adjacent islands","2015-2050","Bioenergy production","%",26.0948411308987,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP3xRCP6.0","LUCC","LPJ-GUESS","Eastern Europe","2015-2050","Bioenergy production","%",21.2120393520421,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP3xRCP6.0","LUCC","LPJ-GUESS","Mesoamerica","2015-2050","Bioenergy production","%",23.390878888777,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP3xRCP6.0","LUCC","LPJ-GUESS","North-East Asia","2015-2050","Bioenergy production","%",-15.3718380825992,"Bioenergy","Raster",FALSE,"biocrop_production"
"SSP3xRCP6.0","LUCC","LPJ-GUESS","North Africa","2015-2050","Bioenergy production","%",58.1998732922344,"Bioenergy","Raster",FALSE,"biocrop_production"
